# DataSet FAZIAT2103
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/data/eindraX/fazia/FAZIAT2103/raw/
run=515 | starting date=Mon Apr 19 05:26:55 2021 | nfiles=10 | size(GB)=1.25
run=169 | starting date=Sun Apr 18 17:05:11 2021 | nfiles=10 | size(GB)=1.25
run=223 | starting date=Sun Apr 18 18:19:22 2021 | nfiles=10 | size(GB)=1.25
run=492 | starting date=Mon Apr 19 05:05:37 2021 | nfiles=10 | size(GB)=1.25
run=407 | starting date=Mon Apr 19 03:00:41 2021 | nfiles=10 | size(GB)=1.25
run=434 | starting date=Mon Apr 19 04:10:33 2021 | nfiles=10 | size(GB)=1.25
run=154 | starting date=Sun Apr 18 16:45:47 2021 | nfiles=10 | size(GB)=1.25
run=541 | starting date=Mon Apr 19 05:52:38 2021 | nfiles=10 | size(GB)=1.25
run=143 | starting date=Sun Apr 18 16:28:10 2021 | nfiles=10 | size(GB)=1.25
run=512 | starting date=Mon Apr 19 05:23:52 2021 | nfiles=10 | size(GB)=1.25
run=230 | starting date=Sun Apr 18 18:28:09 2021 | nfiles=10 | size(GB)=1.25
run=235 | starting date=Sun Apr 18 18:36:47 2021 | nfiles=10 | size(GB)=1.25
run=511 | starting date=Mon Apr 19 05:22:50 2021 | nfiles=10 | size(GB)=1.25
run=345 | starting date=Mon Apr 19 00:31:51 2021 | nfiles=10 | size(GB)=1.25
run=518 | starting date=Mon Apr 19 05:30:02 2021 | nfiles=10 | size(GB)=1.25
run=364 | starting date=Mon Apr 19 01:17:25 2021 | nfiles=10 | size(GB)=1.25
run=341 | starting date=Mon Apr 19 00:22:49 2021 | nfiles=10 | size(GB)=1.25
run=268 | starting date=Sun Apr 18 21:18:18 2021 | nfiles=10 | size(GB)=1.25
run=411 | starting date=Mon Apr 19 03:11:43 2021 | nfiles=10 | size(GB)=1.25
run=220 | starting date=Sun Apr 18 18:14:54 2021 | nfiles=10 | size(GB)=1.25
run=343 | starting date=Mon Apr 19 00:27:26 2021 | nfiles=10 | size(GB)=1.25
run=308 | starting date=Sun Apr 18 23:13:41 2021 | nfiles=10 | size(GB)=1.25
run=366 | starting date=Mon Apr 19 01:21:53 2021 | nfiles=10 | size(GB)=1.25
